<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20190603,000000,214.4000000,251.6500000,213.5000000,235.5100000,218623740
GAZP,D,20190604,000000,233.5000000,235.5900000,223.5200000,230.1600000,109468310
GAZP,D,20190605,000000,230.2500000,233.3000000,228.0400000,230.0100000,40189180
GAZP,D,20190606,000000,230.0000000,236.6200000,228.7100000,231.4500000,55255260
GAZP,D,20190607,000000,233.1300000,233.7700000,230.0000000,230.5000000,42161970
GAZP,D,20190610,000000,230.9600000,234.3000000,230.4000000,232.1000000,30561990
GAZP,D,20190611,000000,232.3300000,237.6300000,231.1300000,234.8600000,44830680
GAZP,D,20190613,000000,233.7400000,237.3500000,233.0100000,234.4400000,35344770
GAZP,D,20190614,000000,234.3800000,235.4400000,231.2600000,231.5100000,25324550
GAZP,D,20190617,000000,231.5500000,234.4400000,229.6300000,229.8100000,32323620
GAZP,D,20190618,000000,229.6800000,232.3000000,228.3000000,232.1300000,32150900
GAZP,D,20190619,000000,232.5000000,235.4200000,232.0000000,232.4600000,31792020
GAZP,D,20190620,000000,234.0000000,234.4500000,231.4500000,232.5200000,44745000
GAZP,D,20190621,000000,232.5000000,232.5200000,228.8500000,229.0900000,47026920
GAZP,D,20190624,000000,229.5400000,233.0400000,229.4700000,232.3800000,22048370
