<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LKOH,D,20190603,000000,5256.0000000,5287.0000000,5226.0000000,5254.5000000,889984
LKOH,D,20190604,000000,5250.5000000,5276.5000000,5142.5000000,5170.0000000,1120326
LKOH,D,20190605,000000,5180.0000000,5184.5000000,5090.0000000,5103.0000000,912191
LKOH,D,20190606,000000,5108.5000000,5157.0000000,5095.0000000,5156.5000000,800121
LKOH,D,20190607,000000,5170.0000000,5184.0000000,5115.0000000,5133.0000000,1285645
LKOH,D,20190610,000000,5140.0000000,5186.0000000,5140.0000000,5181.0000000,601975
LKOH,D,20190611,000000,5175.0000000,5247.0000000,5165.0000000,5237.0000000,1052918
LKOH,D,20190613,000000,5210.0000000,5229.0000000,5155.0000000,5210.5000000,998626
LKOH,D,20190614,000000,5193.0000000,5236.5000000,5178.5000000,5178.5000000,742589
LKOH,D,20190617,000000,5178.5000000,5220.5000000,5163.0000000,5190.0000000,775838
LKOH,D,20190618,000000,5183.0000000,5230.0000000,5157.5000000,5230.0000000,936063
LKOH,D,20190619,000000,5233.0000000,5255.5000000,5169.0000000,5245.0000000,856972
LKOH,D,20190620,000000,5265.0000000,5357.5000000,5258.5000000,5320.0000000,1662109
LKOH,D,20190621,000000,5307.0000000,5338.0000000,5268.5000000,5338.0000000,1544763
LKOH,D,20190624,000000,5333.5000000,5349.0000000,5270.0000000,5270.0000000,567632
