INSTRUMENT_ID;SUPERTYPE;ISIN
5771;Акции;RU000A0JUG31
5163;Облигации;RU000A0JU898
5896;Облигации;RU000A0JUQQ5
5897;Облигации;RU000A0JUQR3
5898;Облигации;
5899;Облигации;
5900;Облигации;
5901;Облигации;
11253;Облигации;RU000A0ZZEW4
11437;Облигации;RU000A0ZZRB0
11640;Облигации;RU000A0ZZZ66
11876;Облигации;RU000A100998
10558;Облигации;RU000A0ZYCD1
10622;Облигации;RU000A0ZYF61
10694;Облигации;RU000A0ZYJ00
9589;Облигации;RU000A0JWWQ9
3762;Акции;RU0007252813
4492;Облигации;
4493;Облигации;
4494;Облигации;
4495;Облигации;
10824;Облигации;RU000A0ZYR18
3999;Облигации;RU000A0JRJC6
4475;Облигации;RU000A0JT593
10560;Облигации;RU000A0ZYCJ8
10819;Облигации;RU000A0ZYQX9
2537;Облигации;RU000A0JQAL8
2538;Облигации;RU000A0JQAM6
2931;Облигации;RU000A0JQXG0
2929;Облигации;RU000A0JR5F7
3399;Облигации;RU000A0JRDY3
2930;Облигации;RU000A0JR6S8
4138;Облигации;RU000A0JS488
4622;Облигации;RU000A0JTDX1
5000;Облигации;RU000A0JTW83
6101;Облигации;RU000A0JV4R9
10945;Облигации;RU000A0ZZ1N0
11047;Облигации;RU000A0ZZ7C0
11785;Облигации;RU000A1004W6
12279;Облигации;RU000A100ET6
3516;Облигации;RU000A0JRJB8
3517;Облигации;RU000A0JRJL7
4140;Облигации;RU000A0JS4J1
4141;Облигации;RU000A0JS4K9
4142;Облигации;RU000A0JS4L7
10601;Облигации;RU000A0ZYDA5
11619;Облигации;RU000A0ZZXP8
9495;Облигации;
9496;Облигации;RU000A1004K1
9498;Облигации;RU000A100DG5
9499;Облигации;RU000A0JWVL2
9500;Облигации;RU000A0ZZBV2
10841;Облигации;RU000A0ZYTZ8
11769;Облигации;RU000A1004A2
2670;Облигации;RU000A0JQK64
3558;Облигации;RU000A0JRLE8
4199;Облигации;RU000A0JT874
5309;Облигации;RU000A0JU1Q8
5310;Облигации;RU000A0JUAD7
11279;Инвестиционные паи;RU000A0ZZH92
11464;Инвестиционные паи;RU000A1000F9
11465;Инвестиционные паи;RU000A1000Q6
9934;Облигации;RU000A0JXQ85
11857;Облигации;RU000A1008B1
3104;Облигации;RU000A0JWM31
4305;Облигации;RU000A0JS9X1
5531;Облигации;RU000A0JU9K4
6229;Облигации;RU000A0JV0T3
9272;Облигации;RU000A0JWJF9
10490;Облигации;RU000A0ZZ2W9
3184;Инвестиционные паи;RU000A0JR3X5
9420;Облигации;RU000A0JWLG3
10531;Облигации;RU000A0ZYA66
11631;Инвестиционные паи;RU000A1002S8
11889;Инвестиционные паи;RU000A100E21
99;Акции;RU000A0JP5V6
10696;Облигации;RU000A0ZYKG7
11013;Облигации;
11259;Облигации;RU000A0ZZH84
11315;Облигации;
11487;Облигации;RU000A0ZZYR2
11652;Облигации;RU000A100071
11653;Облигации;RU000A100089
11745;Облигации;
11746;Облигации;
11747;Облигации;
11748;Облигации;
11749;Облигации;
11758;Облигации;RU000A100EJ7
11750;Облигации;
11751;Облигации;
11752;Облигации;
12210;Облигации;RU000A100FT3
12209;Облигации;RU000A100FV9
