Time,MOEX,LKOH,SBER,GAZP,NVTK
13.06.2019,10:38:06,272875.000000,5169.000000,234.220000,235.340000,1306.400000
13.06.2019,10:38:15,272875.000000,5168.000000,234.250000,235.400000,1306.400000
13.06.2019,10:38:26,273025.000000,5170.500000,234.310000,235.670000,1306.600000
13.06.2019,10:38:36,272975.000000,5171.500000,234.400000,235.650000,1306.600000
13.06.2019,10:38:46,272975.000000,5171.500000,234.280000,235.560000,1306.600000
13.06.2019,10:38:56,272875.000000,5167.000000,234.330000,235.410000,1305.000000
13.06.2019,10:38:56,272875.000000,5167.000000,234.330000,235.410000,1305.000000
13.06.2019,10:39:06,272800.000000,5167.000000,234.340000,235.320000,1303.600000
13.06.2019,10:39:16,272825.000000,5168.000000,234.390000,235.500000,1303.200000
13.06.2019,10:39:26,272850.000000,5168.500000,234.490000,235.690000,1303.200000
13.06.2019,10:39:36,272875.000000,5168.000000,234.620000,235.680000,1304.200000
13.06.2019,10:39:46,272875.000000,5169.000000,234.780000,235.600000,1304.200000
13.06.2019,10:39:56,273025.000000,5169.000000,234.950000,235.750000,1304.200000
13.06.2019,10:39:56,273025.000000,5167.000000,234.950000,235.750000,1304.200000
13.06.2019,10:40:06,272975.000000,5169.000000,234.820000,235.840000,1304.200000
13.06.2019,10:40:16,272925.000000,5169.000000,235.000000,235.730000,1304.200000
13.06.2019,10:40:26,272925.000000,5167.500000,235.170000,235.720000,1304.600000
13.06.2019,10:40:36,272925.000000,5167.000000,235.090000,235.630000,1305.200000
13.06.2019,10:40:46,272925.000000,5166.500000,235.150000,235.610000,1305.200000
13.06.2019,10:40:56,273050.000000,5169.000000,235.500000,235.600000,1305.200000
13.06.2019,10:40:56,273050.000000,5169.000000,235.590000,235.600000,1305.200000
13.06.2019,10:41:06,273100.000000,5169.000000,235.280000,235.570000,1305.200000
13.06.2019,10:41:16,273250.000000,5169.000000,235.540000,235.820000,1305.200000
13.06.2019,10:41:26,273150.000000,5169.000000,235.500000,235.730000,1305.200000
13.06.2019,10:41:37,273225.000000,5171.500000,235.520000,235.790000,1304.400000
13.06.2019,10:41:47,273225.000000,5168.500000,235.340000,235.810000,1304.400000
13.06.2019,10:41:56,273100.000000,5167.500000,235.340000,235.740000,1304.400000
13.06.2019,10:41:56,273100.000000,5167.500000,235.340000,235.740000,1305.200000
13.06.2019,10:42:07,273100.000000,5168.000000,235.210000,235.740000,1305.200000
13.06.2019,10:42:17,273025.000000,5168.000000,235.250000,235.780000,1305.200000
13.06.2019,10:42:27,273000.000000,5166.500000,235.110000,235.700000,1305.200000
13.06.2019,10:42:37,273050.000000,5166.500000,235.460000,235.700000,1305.200000
13.06.2019,10:42:47,273025.000000,5166.500000,235.450000,235.650000,1305.200000
13.06.2019,10:42:56,273025.000000,5168.000000,235.180000,235.590000,1305.200000
13.06.2019,10:42:57,273025.000000,5168.000000,235.290000,235.590000,1305.200000
13.06.2019,10:43:07,273100.000000,5168.000000,235.470000,235.570000,1305.200000
13.06.2019,10:43:17,273100.000000,5167.500000,235.560000,235.600000,1305.200000
13.06.2019,10:43:27,273100.000000,5168.000000,235.470000,235.570000,1305.200000
13.06.2019,10:43:37,273100.000000,5167.500000,235.540000,235.650000,1305.200000
13.06.2019,10:43:47,273050.000000,5166.500000,235.420000,235.570000,1304.200000
13.06.2019,10:43:56,273050.000000,5167.000000,235.420000,235.620000,1304.200000
13.06.2019,10:43:57,273050.000000,5167.000000,235.480000,235.620000,1304.200000
13.06.2019,10:44:07,273025.000000,5166.500000,235.390000,235.620000,1304.200000
13.06.2019,10:44:17,273025.000000,5166.500000,235.440000,235.590000,1304.200000
13.06.2019,10:44:27,273025.000000,5167.000000,235.330000,235.720000,1304.200000
13.06.2019,10:44:37,273025.000000,5167.000000,235.420000,235.610000,1304.200000
13.06.2019,10:44:47,273000.000000,5167.000000,235.380000,235.640000,1304.200000
13.06.2019,10:44:56,272950.000000,5165.500000,235.210000,235.580000,1304.000000
13.06.2019,10:44:57,272900.000000,5164.500000,235.180000,235.540000,1303.000000
13.06.2019,10:45:07,272875.000000,5165.000000,235.280000,235.460000,1302.800000
13.06.2019,10:45:17,272850.000000,5162.000000,235.210000,235.460000,1302.800000
13.06.2019,10:45:27,272850.000000,5162.000000,235.400000,235.400000,1302.800000
13.06.2019,10:45:37,272850.000000,5162.000000,235.420000,235.450000,1302.800000
13.06.2019,10:45:47,272825.000000,5158.500000,235.400000,235.390000,1302.800000
13.06.2019,10:45:56,272800.000000,5158.500000,235.440000,235.250000,1302.800000
13.06.2019,10:45:58,272800.000000,5158.500000,235.440000,235.310000,1302.800000
13.06.2019,10:46:07,272800.000000,5159.000000,235.430000,235.260000,1302.800000
13.06.2019,10:46:18,272800.000000,5159.500000,235.400000,235.380000,1302.800000
13.06.2019,10:46:28,272800.000000,5163.000000,235.400000,235.460000,1302.800000
13.06.2019,10:46:38,272900.000000,5162.000000,235.410000,235.460000,1302.800000
13.06.2019,10:46:48,272925.000000,5163.500000,235.440000,235.450000,1302.800000
13.06.2019,10:46:56,273000.000000,5163.500000,235.490000,235.580000,1303.400000
13.06.2019,10:46:58,273000.000000,5163.500000,235.490000,235.450000,1303.400000
13.06.2019,10:47:08,273000.000000,5163.500000,235.580000,235.500000,1303.400000
13.06.2019,10:47:18,273050.000000,5164.000000,235.530000,235.630000,1303.400000
13.06.2019,10:47:28,273075.000000,5167.500000,235.440000,235.550000,1303.400000
13.06.2019,10:47:38,273100.000000,5167.500000,235.490000,235.670000,1303.400000
