Time,MOEX,LKOH,SBER,GAZP,NVTK,GMKN,ROSN,YNDX,TATN,SNGSP
14.06.2019,10:04:21,273975.000000,5190.000000,240.890000,234.010000,1305.000000,14602.000000,415.100000,2482.000000,766.100000,41.110000
14.06.2019,10:05:22,274125.000000,5194.500000,241.110000,234.150000,1308.400000,14600.000000,415.850000,2483.400000,765.600000,41.165000
14.06.2019,10:06:22,274375.000000,5199.000000,241.200000,234.420000,1312.600000,14590.000000,416.450000,2482.800000,767.800000,41.150000
14.06.2019,10:07:22,274475.000000,5200.500000,241.250000,234.420000,1321.000000,14614.000000,416.300000,2485.200000,767.800000,41.155000
14.06.2019,10:08:22,274500.000000,5204.500000,241.190000,234.600000,1321.400000,14620.000000,416.000000,2484.200000,766.400000,41.150000
14.06.2019,10:09:21,274775.000000,5213.500000,241.100000,234.840000,1320.400000,14652.000000,416.600000,2481.600000,768.600000,41.185000
14.06.2019,10:10:22,274775.000000,5212.000000,241.150000,234.480000,1320.800000,14676.000000,416.050000,2485.600000,768.400000,41.155000
14.06.2019,10:11:21,274725.000000,5212.500000,241.220000,234.630000,1317.200000,14696.000000,415.950000,2487.600000,767.600000,41.155000
14.06.2019,10:12:22,274825.000000,5212.000000,241.450000,234.820000,1313.600000,14686.000000,415.800000,2488.600000,768.500000,41.170000
14.06.2019,10:13:22,274950.000000,5210.000000,242.000000,234.760000,1313.000000,14686.000000,415.500000,2486.400000,769.200000,41.170000
14.06.2019,10:14:22,275150.000000,5212.000000,242.800000,235.000000,1312.000000,14680.000000,415.400000,2486.000000,769.400000,41.180000
14.06.2019,10:15:22,275200.000000,5216.500000,242.700000,235.180000,1308.800000,14688.000000,415.300000,2487.600000,770.800000,41.170000
14.06.2019,10:16:22,275050.000000,5215.000000,242.140000,234.740000,1308.600000,14674.000000,415.200000,2489.400000,771.300000,41.155000
14.06.2019,10:17:22,275000.000000,5217.500000,242.520000,235.020000,1308.400000,14666.000000,415.250000,2491.600000,771.400000,41.170000
14.06.2019,10:18:22,275000.000000,5217.500000,242.370000,234.840000,1308.400000,14654.000000,415.350000,2489.400000,772.100000,41.155000
14.06.2019,10:19:22,274900.000000,5217.500000,242.000000,234.550000,1311.600000,14644.000000,415.550000,2486.000000,770.900000,41.110000
14.06.2019,10:20:22,274875.000000,5214.000000,241.980000,234.700000,1312.000000,14650.000000,415.600000,2486.000000,770.700000,41.130000
14.06.2019,10:21:22,274900.000000,5214.000000,241.900000,234.700000,1311.600000,14682.000000,415.400000,2486.000000,771.400000,41.135000
14.06.2019,10:22:22,274775.000000,5211.500000,241.890000,234.430000,1309.400000,14684.000000,415.200000,2485.200000,771.300000,41.130000
14.06.2019,10:23:22,274875.000000,5213.500000,242.260000,234.640000,1310.600000,14684.000000,415.350000,2487.000000,772.900000,41.155000
14.06.2019,10:24:22,274825.000000,5211.000000,242.120000,234.500000,1309.000000,14672.000000,415.200000,2487.800000,772.000000,41.160000
14.06.2019,10:25:22,274925.000000,5207.500000,242.330000,234.530000,1312.000000,14684.000000,415.100000,2488.000000,772.300000,41.180000
14.06.2019,10:26:22,274950.000000,5209.500000,242.310000,234.260000,1310.800000,14696.000000,415.200000,2484.400000,772.600000,41.155000
14.06.2019,10:27:22,275075.000000,5209.500000,242.480000,234.400000,1312.000000,14720.000000,415.200000,2482.600000,772.600000,41.160000
14.06.2019,10:28:22,275150.000000,5211.500000,242.590000,234.340000,1311.400000,14720.000000,415.300000,2482.200000,773.500000,41.170000
14.06.2019,10:29:23,274850.000000,5207.500000,242.300000,234.000000,1311.200000,14682.000000,415.250000,2481.200000,773.100000,41.145000
14.06.2019,10:30:22,274925.000000,5209.000000,242.290000,234.040000,1309.400000,14672.000000,415.300000,2481.200000,772.600000,41.125000
14.06.2019,10:31:22,274925.000000,5208.000000,242.340000,234.000000,1311.200000,14680.000000,415.550000,2484.000000,772.800000,41.150000
14.06.2019,10:32:22,274950.000000,5208.000000,242.480000,233.840000,1311.200000,14688.000000,415.550000,2482.000000,771.400000,41.180000
14.06.2019,10:33:23,274825.000000,5208.500000,242.810000,233.950000,1311.000000,14690.000000,415.650000,2480.200000,770.100000,41.175000
14.06.2019,10:34:23,274800.000000,5211.000000,242.700000,234.030000,1310.000000,14692.000000,415.550000,2475.400000,770.500000,41.160000
14.06.2019,10:35:22,274875.000000,5212.000000,242.820000,233.980000,1310.800000,14698.000000,415.800000,2476.200000,770.200000,41.160000
14.06.2019,10:36:23,274950.000000,5208.500000,242.750000,234.110000,1310.200000,14692.000000,415.650000,2477.600000,770.600000,41.160000
14.06.2019,10:37:22,274975.000000,5210.500000,242.770000,234.350000,1311.000000,14692.000000,415.700000,2476.800000,771.100000,41.160000
14.06.2019,10:38:23,275000.000000,5208.500000,242.580000,234.280000,1311.600000,14702.000000,415.600000,2477.200000,771.600000,41.175000
14.06.2019,10:39:23,274975.000000,5208.500000,242.490000,234.370000,1311.200000,14698.000000,415.300000,2477.400000,771.600000,41.190000
14.06.2019,10:40:23,274775.000000,5208.500000,242.300000,234.190000,1309.200000,14676.000000,415.350000,2475.800000,770.900000,41.130000
14.06.2019,10:41:23,274850.000000,5210.500000,242.210000,234.180000,1309.200000,14680.000000,415.300000,2475.000000,771.300000,41.160000
14.06.2019,10:42:23,274800.000000,5210.000000,242.100000,234.230000,1309.800000,14676.000000,415.150000,2476.800000,771.000000,41.175000
14.06.2019,10:43:23,274825.000000,5211.000000,242.000000,234.270000,1309.800000,14670.000000,415.000000,2477.600000,771.300000,41.155000
14.06.2019,10:44:23,274775.000000,5210.500000,241.980000,234.190000,1309.400000,14666.000000,414.550000,2477.600000,770.700000,41.160000
14.06.2019,10:45:23,274800.000000,5210.500000,242.040000,234.240000,1310.600000,14662.000000,414.850000,2478.000000,769.200000,41.160000
14.06.2019,10:46:23,274550.000000,5208.500000,241.460000,233.780000,1309.200000,14646.000000,414.550000,2476.800000,768.500000,41.130000
14.06.2019,10:47:23,274500.000000,5209.500000,241.290000,233.950000,1309.200000,14634.000000,414.500000,2475.000000,768.800000,41.135000
14.06.2019,10:48:23,274600.000000,5209.000000,241.590000,234.140000,1308.000000,14648.000000,414.250000,2475.000000,770.300000,41.130000
14.06.2019,10:49:23,274600.000000,5210.000000,241.560000,234.030000,1309.200000,14656.000000,414.350000,2477.000000,770.700000,41.170000
14.06.2019,10:50:23,274750.000000,5213.000000,241.730000,234.030000,1309.400000,14662.000000,414.300000,2475.600000,770.500000,41.150000
14.06.2019,10:51:23,274875.000000,5215.000000,241.850000,234.190000,1310.200000,14670.000000,414.700000,2477.800000,771.000000,41.190000
14.06.2019,10:52:23,274825.000000,5215.000000,241.570000,234.250000,1311.600000,14674.000000,415.100000,2477.800000,770.800000,41.190000
14.06.2019,10:53:23,274800.000000,5212.000000,241.500000,234.230000,1309.600000,14676.000000,414.800000,2477.800000,770.700000,41.190000
14.06.2019,10:54:23,274850.000000,5212.500000,241.720000,234.310000,1310.200000,14674.000000,415.100000,2477.800000,770.700000,41.215000
14.06.2019,10:55:23,274950.000000,5214.500000,241.680000,234.380000,1310.200000,14680.000000,415.200000,2477.600000,770.700000,41.215000
14.06.2019,10:56:23,275250.000000,5219.500000,242.360000,234.630000,1311.800000,14708.000000,415.050000,2478.000000,771.200000,41.215000
14.06.2019,10:57:23,275400.000000,5221.500000,242.510000,234.730000,1311.800000,14698.000000,415.050000,2478.000000,771.500000,41.300000
14.06.2019,10:58:23,275350.000000,5224.000000,242.340000,234.730000,1311.800000,14700.000000,415.000000,2478.000000,770.900000,41.315000
14.06.2019,10:59:23,275350.000000,5223.000000,242.490000,234.580000,1311.000000,14700.000000,414.750000,2478.000000,768.800000,41.295000
14.06.2019,11:00:23,275250.000000,5220.500000,242.140000,234.680000,1310.200000,14700.000000,415.800000,2478.000000,768.100000,41.295000
14.06.2019,11:01:23,275375.000000,5224.500000,242.380000,234.640000,1311.600000,14706.000000,415.600000,2483.000000,769.000000,41.300000
