Time,MOEX,LKOH,SBER,GAZP,NVTK
14.06.2019,10:03:31,273925.000000,5190.500000,240.710000,233.970000,1303.800000
14.06.2019,10:03:41,273950.000000,5192.500000,240.560000,233.890000,1303.800000
14.06.2019,10:03:52,273975.000000,5192.500000,240.680000,233.920000,1303.800000
14.06.2019,10:04:02,274000.000000,5191.000000,240.710000,234.100000,1305.400000
14.06.2019,10:04:11,274000.000000,5191.000000,240.810000,233.940000,1305.800000
14.06.2019,10:04:22,273975.000000,5190.000000,240.890000,234.010000,1305.000000
14.06.2019,10:04:32,273975.000000,5191.500000,241.030000,234.080000,1305.000000
14.06.2019,10:04:42,274075.000000,5190.500000,241.150000,234.070000,1305.000000
14.06.2019,10:04:52,274100.000000,5192.500000,241.020000,234.130000,1308.400000
14.06.2019,10:05:02,274025.000000,5193.000000,240.970000,234.000000,1308.400000
14.06.2019,10:05:12,274125.000000,5194.500000,241.100000,234.140000,1308.400000
14.06.2019,10:05:22,274125.000000,5194.500000,241.110000,234.150000,1308.400000
14.06.2019,10:05:32,274250.000000,5198.500000,241.300000,234.360000,1307.600000
14.06.2019,10:05:42,274000.000000,5195.000000,240.900000,234.220000,1309.000000
14.06.2019,10:05:52,274100.000000,5196.500000,241.020000,234.240000,1308.400000
14.06.2019,10:06:02,274550.000000,5199.500000,241.250000,234.780000,1308.400000
14.06.2019,10:06:12,274550.000000,5200.000000,241.420000,234.660000,1312.400000
14.06.2019,10:06:22,274350.000000,5198.000000,241.270000,234.250000,1312.600000
14.06.2019,10:06:32,274350.000000,5199.500000,241.290000,234.410000,1312.600000
14.06.2019,10:06:42,274300.000000,5198.500000,241.180000,234.590000,1312.200000
14.06.2019,10:06:52,274325.000000,5198.500000,241.180000,234.470000,1315.000000
14.06.2019,10:07:02,274375.000000,5200.000000,241.180000,234.450000,1315.000000
14.06.2019,10:07:12,274475.000000,5203.500000,241.250000,234.450000,1316.200000
14.06.2019,10:07:22,274475.000000,5200.500000,241.250000,234.420000,1320.800000
14.06.2019,10:07:32,274475.000000,5201.000000,241.170000,234.500000,1322.600000
14.06.2019,10:07:42,274525.000000,5203.500000,241.200000,234.580000,1321.800000
14.06.2019,10:07:52,274400.000000,5203.000000,241.030000,234.440000,1319.400000
14.06.2019,10:08:02,274350.000000,5201.500000,241.000000,234.460000,1319.400000
14.06.2019,10:08:12,274550.000000,5205.000000,241.110000,234.620000,1321.000000
14.06.2019,10:08:22,274500.000000,5204.500000,241.190000,234.600000,1321.400000
14.06.2019,10:08:32,274450.000000,5203.500000,241.090000,234.610000,1321.400000
14.06.2019,10:08:42,274500.000000,5203.000000,241.130000,234.730000,1319.800000
14.06.2019,10:08:53,274500.000000,5203.500000,241.000000,234.600000,1319.800000
14.06.2019,10:09:02,274650.000000,5205.500000,241.080000,234.750000,1319.800000
14.06.2019,10:09:13,274850.000000,5213.000000,241.160000,234.880000,1320.800000
14.06.2019,10:09:23,274775.000000,5213.500000,241.130000,234.850000,1320.400000
14.06.2019,10:09:33,274775.000000,5212.500000,241.210000,234.680000,1319.600000
14.06.2019,10:09:43,274775.000000,5213.500000,241.150000,234.700000,1319.200000
14.06.2019,10:09:53,274725.000000,5213.000000,241.150000,234.650000,1319.200000
14.06.2019,10:10:03,274775.000000,5212.000000,241.190000,234.600000,1320.400000
14.06.2019,10:10:13,274825.000000,5214.500000,241.240000,234.670000,1320.200000
14.06.2019,10:10:23,274750.000000,5210.500000,241.150000,234.480000,1320.800000
14.06.2019,10:10:33,274775.000000,5213.500000,241.150000,234.510000,1320.800000
14.06.2019,10:10:43,274775.000000,5214.500000,241.150000,234.550000,1320.800000
14.06.2019,10:10:53,274800.000000,5212.500000,241.210000,234.590000,1319.400000
14.06.2019,10:11:03,274700.000000,5211.500000,241.120000,234.400000,1317.400000
14.06.2019,10:11:13,274650.000000,5210.500000,241.080000,234.320000,1317.200000
14.06.2019,10:11:23,274725.000000,5212.500000,241.220000,234.630000,1317.200000
14.06.2019,10:11:33,274725.000000,5213.000000,241.170000,234.480000,1318.400000
14.06.2019,10:11:43,274825.000000,5213.000000,241.370000,234.550000,1316.400000
14.06.2019,10:11:53,274750.000000,5213.500000,241.390000,234.570000,1313.600000
14.06.2019,10:12:03,274775.000000,5211.000000,241.400000,234.550000,1315.600000
14.06.2019,10:12:13,274725.000000,5210.500000,241.400000,234.550000,1313.600000
14.06.2019,10:12:23,274825.000000,5212.000000,241.450000,234.710000,1313.600000
14.06.2019,10:12:33,274850.000000,5211.000000,241.440000,234.740000,1314.800000
14.06.2019,10:12:43,274850.000000,5211.000000,241.450000,234.780000,1314.800000
14.06.2019,10:12:53,275100.000000,5212.500000,242.160000,235.000000,1314.600000
14.06.2019,10:13:03,275025.000000,5213.000000,241.990000,234.940000,1314.600000
14.06.2019,10:13:13,274925.000000,5211.000000,241.720000,234.840000,1314.000000
14.06.2019,10:13:24,274950.000000,5210.000000,241.990000,234.760000,1313.000000
14.06.2019,10:13:34,274950.000000,5210.000000,242.000000,234.840000,1313.000000
14.06.2019,10:13:44,275000.000000,5210.000000,242.180000,234.830000,1313.400000
14.06.2019,10:13:54,275000.000000,5212.000000,242.100000,234.980000,1313.400000
14.06.2019,10:14:04,275025.000000,5212.000000,242.280000,234.970000,1313.400000
14.06.2019,10:14:14,275025.000000,5212.000000,242.400000,235.000000,1311.800000
14.06.2019,10:14:24,275150.000000,5211.500000,242.840000,234.970000,1312.000000
14.06.2019,10:14:34,275175.000000,5211.500000,242.800000,235.020000,1312.000000
14.06.2019,10:14:44,275350.000000,5214.500000,242.820000,235.340000,1312.000000
14.06.2019,10:14:54,275350.000000,5217.500000,242.890000,235.390000,1312.000000
14.06.2019,10:15:04,275350.000000,5217.000000,243.000000,235.300000,1310.800000
14.06.2019,10:15:14,275200.000000,5216.500000,242.880000,235.080000,1308.800000
14.06.2019,10:15:24,275175.000000,5216.500000,242.620000,235.080000,1310.200000
14.06.2019,10:15:34,275200.000000,5216.500000,242.550000,235.080000,1310.200000
14.06.2019,10:15:44,275125.000000,5216.500000,242.440000,235.050000,1308.000000
14.06.2019,10:15:54,275175.000000,5216.500000,242.450000,235.230000,1308.000000
14.06.2019,10:16:04,275125.000000,5215.500000,242.260000,235.100000,1308.800000
14.06.2019,10:16:14,275050.000000,5215.000000,242.210000,235.050000,1307.200000
14.06.2019,10:16:24,275050.000000,5215.000000,242.200000,234.990000,1308.600000
14.06.2019,10:16:34,274950.000000,5215.000000,242.200000,234.920000,1308.600000
14.06.2019,10:16:44,274950.000000,5214.000000,242.220000,234.840000,1307.000000
14.06.2019,10:16:54,275000.000000,5214.000000,242.240000,234.800000,1307.000000
