ISIN;Name;Price;Nominal;Coupon;ACI;Coupon_date;Coupon_days;Expiration_date
RU000A0ZZ0Q5;4фин_БО-01;0;1000;74.79;36.58;27.09.2019;182;24.03.2023
XS1985081444;BCS_05/24;102.5;100000;4750;0;24.08.2019;129;24.05.2024
XS1833629253;BCS_07/21;95;100000;8500;0;01.07.2019;181;01.07.2021
XS1654237129;BCS_08/20;100;350000;20597.26;0;16.08.2019;181;16.08.2020
XS1859436070;BCS_08/21;73.03;100000;8500;0;10.08.2019;181;10.08.2021
XS1822383094;BCS_09/23;93.85;100000;5041.1;0;27.09.2019;184;27.09.2023
XS1434175730;BCS_10/19;100.79;80000;5013.7;2109.59;10.10.2019;183;10.10.2019
XS1873963794;BCS_10/21;74.78;100000;8500;0;01.10.2019;183;01.10.2021
XS1903464391;BCS_12/21;104.85;100000;0;0;01.12.2019;373;01.12.2021
XS1807420937;BCS_4/21;84.64;100000;0;0;30.04.2020;359;30.04.2021
XS1708322133;BCS_Ladder;112;300000;0;0;29.01.2020;365;29.01.2021
XS1713519012;BCS_MICEX;128.42;100000;0;0;;0;09.11.2027
XS1675776014;BCS_PFGR;112.14;100000;533.94;0;23.08.2019;181;23.08.2027
XS1731601867;BCS_PFGRA;0;100000;649;0;26.11.2019;184;26.11.2027
XS1604405545;BCS06/20;95;350000;28076.71;0;26.12.2019;183;26.06.2020
XS1943597994;BCS12/23-3;101.3;100000;5515.07;0;20.12.2019;183;20.12.2023
XS1859436401;BCS3108/21;107.86;100000;0;0;31.08.2019;365;31.08.2021
XS1143363940;CBOM_05/25;101;100000;8250;1375;26.11.2019;184;26.05.2025
XS0504954347;RUS-20;101.9909;100000;2500;49497.2958;29.10.2019;180;29.04.2020
XS0767472458;RUS-22;104.25;200000;4500;128171.945;04.10.2019;180;04.04.2022
XS0971721450;RUS-23;101.4;200000;4875;169332.8542;16.09.2019;180;16.09.2023
RU000A0JWHA4;RUS-26;104.7311;200000;4750;47847.386;27.11.2019;184;27.05.2026
RU000A0JXTS9;RUS-27;102;200000;4250;4428.7054;23.12.2019;183;23.06.2027
XS0088543193;RUS-28;165;1000;63.75;44.2871;24.12.2019;180;24.06.2028
RU000A0ZYYN4;RUS-29;103.7;200000;4375;144367.1128;21.09.2019;184;21.03.2029
XS0114288789;RUS-30;113.4997;0.375;0.01;0.4201;30.09.2019;180;31.03.2030
RU000A1006S9;RUS-35;0;200000;5100;155890.4307;28.09.2019;184;28.03.2035
