ISIN;ยเ๋þ๒เ;ฤเ๒เ โ๛๏๋. ๊๓๏.;ฯ๎ใเ๘ๅํ่ๅ;ฤ๋่๒. ๊๓๏๎ํเ;ฤþ๐เ๖่ÿ;ศํ๑๒๐๓์ๅํ๒ ๑๎๊๐.;อ๎์่ํเ๋;ฮ๔.๒ๅ๊.๖ๅํเ;ห๎๒;ึๅํเ ็เ๊๐.;ฤ๎ ๏๎ใเ๘ๅํ่ÿ
RU000A100907;SUR;17.07.2019;17.07.2019;92;22;สฮมะ-20;1000;99.99;1;99.99;22
RU000A100C23;SUR;14.08.2019;14.08.2019;92;50;สฮมะ-21;1000;99.95;1;99.95;50
RU000A100EL3;SUR;11.09.2019;11.09.2019;92;78;สฮมะ-22;1000;99.96;1;99.96;78
RU000A0JX0J2;SUR;16.10.2019;16.10.2019;182;113;ฮิว 24019;1000;100.19;1;100.2;113
RU000A0ZYCK6;SUR;18.12.2019;15.12.2021;182;845;ฮิว 25083;1000;100.13;1;99.802;904
RU000A0JREQ7;SUR;16.10.2019;14.04.2021;182;620;ฮิว 26205;1000;100.87;1;100.87;659
RU000A0JS3W6;SUR;14.08.2019;03.02.2027;182;2087;ฮิว 26207;1000;105.416;1;105.4;2780
RU000A0JSMA2;SUR;24.07.2019;20.07.2022;182;991;ฮิว 26209;1000;101.344;1;101.389;1121
RU000A0JTG59;SUR;11.12.2019;11.12.2019;182;169;ฮิว 26210;1000;99.975;1;99.95;169
RU000A0JTJL3;SUR;31.07.2019;25.01.2023;182;1149;ฮิว 26211;1000;99.82;1;99.514;1310
RU000A0JTK38;SUR;31.07.2019;19.01.2028;182;2330;ฮิว 26212;1000;98.77;1;98.752;3130
RU000A0JTYA5;SUR;27.11.2019;27.05.2020;182;331;ฮิว 26214;1000;99.516;1;99.553;337
RU000A0JU4L3;SUR;21.08.2019;16.08.2023;182;1308;ฮิว 26215;1000;99.479;1;99.202;1513
RU000A0JVW30;SUR;21.08.2019;18.08.2021;182;722;ฮิว 26217;1000;101.27;1;100.95;785
RU000A0JVW48;SUR;02.10.2019;17.09.2031;182;2885;ฮิว 26218;1000;109.2;1;109.19;4467
RU000A0JWM07;SUR;25.09.2019;16.09.2026;182;2041;ฮิว 26219;1000;102.525;1;102.869;2640
RU000A0JXB41;SUR;11.12.2019;07.12.2022;182;1133;ฮิว 26220;1000;100.674;1;100.85;1261
RU000A0JXFM1;SUR;09.10.2019;23.03.2033;182;3160;ฮิว 26221;1000;102.75;1;102.505;5020
RU000A0JXQF2;SUR;23.10.2019;16.10.2024;182;1629;ฮิว 26222;1000;99.4;1;99.401;1940
RU000A0ZYU88;SUR;04.09.2019;28.02.2024;182;1468;ฮิว 26223;1000;97.384;1;97.384;1709
RU000A0ZYUA9;SUR;04.12.2019;23.05.2029;182;2658;ฮิว 26224;1000;97.819;1;97.4;3620
RU000A0ZYUB7;SUR;27.11.2019;10.05.2034;182;3377;ฮิว 26225;1000;98.657;1;98.65;5433
RU000A0ZZYW2;SUR;16.10.2019;07.10.2026;182;2055;ฮิว 26226;1000;104.283;1;103.8;2661
RU000A1007F4;SUR;24.07.2019;17.07.2024;119;1548;ฮิว 26227;1000;100.64;1;100.64;1849
RU000A100A82;SUR;23.10.2019;10.04.2030;182;2734;ฮิว 26228;1000;102.4;1;102.6;3942
RU000A100EG3;SUR;20.11.2019;12.11.2025;168;1904;ฮิว 26229;1000;99.5;1;99.5;2332
RU000A100EF5;SUR;09.10.2019;16.03.2039;126;3848;ฮิว 26230;1000;102.999;1;102.999;7204
RU000A0JV4L2;SUR;07.08.2019;29.01.2025;182;1629;ฮิว 29006;1000;104.29;1;104.249;2045
RU000A0JV4M0;SUR;11.09.2019;03.03.2027;182;2081;ฮิว 29007;1000;106.1;1;106.1;2808
RU000A0JV4P3;SUR;16.10.2019;03.10.2029;182;2547;ฮิว 29008;1000;107.629;1;107.629;3753
RU000A0JV4N8;SUR;20.11.2019;05.05.2032;182;2939;ฮิว 29009;1000;110.501;1;110.501;4698
RU000A0JV4Q1;SUR;26.06.2019;06.12.2034;182;3121;ฮิว 29010;1000;110.545;1;110.55;5643
RU000A0JV7J9;SUR;31.07.2019;29.01.2020;182;211;ฮิว 29011;1000;100.693;1;100.679;218
RU000A0JX0H6;SUR;20.11.2019;16.11.2022;182;1104;ฮิว 29012;1000;100.459;1;100.439;1240
RU0002867854;SUR;28.08.2019;20.08.2025;364;1263;ฮิว 46011;1000;115.983;1;116;2248
RU0002868001;SUR;18.09.2019;05.09.2029;364;2346;ฮิว 46012;975;105;1;105;3725
RU000A0D0G29;SUR;28.08.2019;24.11.2021;91;522;ฮิว 46018;1000;99.235;1;99.235;883
RU000A0GN9A7;SUR;14.08.2019;06.02.2036;182;3431;ฮิว 46020;1000;93.432;1;93.448;6070
RU000A0JPLH5;SUR;24.07.2019;19.07.2023;182;1165;ฮิว 46022;1000;93.866;1;94.502;1485
RU000A0JRTL6;SUR;01.08.2019;23.07.2026;182;0;ฮิว 46023;700;134;1;134;2585
RU000A0JVMH1;SUR;21.08.2019;16.08.2023;182;1433;ฮิว 52001;1201.27;96.748;1;96.748;1513
RU000A0ZYZ26;SUR;14.08.2019;02.02.2028;182;2807;ฮิว 52002;1062.16;93.09;1;93.09;3144
