ISIN;Name;Price;Nominal;Coupon;ACI;Coupon_date;Coupon_days;Expiration_date
RU000A100907; Œ¡–-20;99.99;1000;19.32;15.21;17.07.2019;17.07.2019;92
RU000A100C23; Œ¡–-21;99.969;1000;19.13;9.27;14.08.2019;14.08.2019;92
RU000A100EL3; Œ¡–-22;99.96;1000;18.94;3.32;11.09.2019;11.09.2019;92
RU000A0JX0J2;Œ‘«_24019;100.191;1000;38.64;15.07;16.10.2019;16.10.2019;182
RU000A0ZYCK6;Œ‘«_25083;99.703;1000;34.9;1.53;15.12.2021;18.12.2019;182
RU000A0JREQ7;Œ‘«_26205;100.796;1000;37.9;14.79;14.04.2021;16.10.2019;182
RU000A0JS3W6;Œ‘«_26207;105.162;1000;40.64;29.92;03.02.2027;14.08.2019;182
RU000A0JSMA2;Œ‘«_26209;101.348;1000;37.9;32.28;20.07.2022;24.07.2019;182
RU000A0JTG59;Œ‘«_26210;99.958;1000;33.91;2.79;11.12.2019;11.12.2019;182
RU000A0JTJL3;Œ‘«_26211;99.5;1000;34.9;28.38;25.01.2023;31.07.2019;182
RU000A0JTK38;Œ‘«_26212;98.508;1000;35.15;28.58;19.01.2028;31.07.2019;182
RU000A0JTYA5;Œ‘«_26214;99.569;1000;31.91;5.08;27.05.2020;27.11.2019;182
RU000A0JU4L3;Œ‘«_26215;99.197;1000;34.9;24.35;16.08.2023;21.08.2019;182
RU000A0JVW30;Œ‘«_26217;100.858;1000;37.4;26.1;18.08.2021;21.08.2019;182
RU000A0JVW48;Œ‘«_26218;109.005;1000;42.38;19.79;17.09.2031;02.10.2019;182
RU000A0JWM07;Œ‘«_26219;102.492;1000;38.64;19.53;16.09.2026;25.09.2019;182
RU000A0JXB41;Œ‘«_26220;100.86;1000;36.9;3.04;07.12.2022;11.12.2019;182
RU000A0JXFM1;Œ‘«_26221;102.549;1000;38.39;16.45;23.03.2033;09.10.2019;182
RU000A0JXQF2;Œ‘«_26222;99.3;1000;35.4;12.45;16.10.2024;23.10.2019;182
RU000A0ZYU88;Œ‘«_26223;97.249;1000;32.41;20.12;28.02.2024;04.09.2019;182
RU000A0ZYUA9;Œ‘«_26224;97.249;1000;34.41;4.16;23.05.2029;04.12.2019;182
RU000A0ZYUB7;Œ‘«_26225;98.647;1000;36.15;5.76;10.05.2034;27.11.2019;182
RU000A0ZZYW2;Œ‘«_26226;103.492;1000;39.64;15.46;07.10.2026;16.10.2019;182
RU000A1007F4;Œ‘«_26227;100.639;1000;24.13;18.66;17.07.2024;24.07.2019;119
RU000A100A82;Œ‘«_26228;102.25;1000;38.15;13.42;10.04.2030;23.10.2019;182
RU000A100EG3;Œ‘«_26229;99.2;1000;32.91;4.31;12.11.2025;20.11.2019;168
RU000A100EF5;Œ‘«_26230;102.61;1000;26.58;4.64;16.03.2039;09.10.2019;126
RU000A0JV4L2;Œ‘«_29006;104.321;1000;42.28;32.76;29.01.2025;07.08.2019;182
RU000A0JV4M0;Œ‘«_29007;106.098;1000;43.28;25.21;03.03.2027;11.09.2019;182
RU000A0JV4P3;Œ‘«_29008;107.968;1000;44.13;17.22;03.10.2029;16.10.2019;182
RU000A0JV4N8;Œ‘«_29009;110.454;1000;45.08;8.92;05.05.2032;20.11.2019;182
RU000A0JV4Q1;Œ‘«_29010;110.311;1000;45.77;0.25;06.12.2034;25.12.2019;182
RU000A0JV7J9;Œ‘«_29011;100.698;1000;41.09;33.41;29.01.2020;31.07.2019;182
RU000A0JX0H6;Œ‘«_29012;100.475;1000;39.59;7.83;16.11.2022;20.11.2019;182
RU0002867854;Œ‘«_46011;116;1000;99.73;82.74;20.08.2025;28.08.2019;364
RU0002868001;Œ‘«_46012;104.556;975;84.16;64.97;05.09.2029;18.09.2019;364
RU000A0D0G29;Œ‘«_46018;99.13;1000;16.21;5.17;24.11.2021;28.08.2019;91
RU000A0GN9A7;Œ‘«_46020;92.999;1000;34.41;25.33;06.02.2036;14.08.2019;182
RU000A0JPLH5;Œ‘«_46022;94.861;1000;27.42;23.35;19.07.2023;24.07.2019;182
RU000A0JRTL6;Œ‘«_46023;134;700;28.48;23;23.07.2026;01.08.2019;182
RU000A0JVMH1;Œ‘«_52001;96.75;1201.39;14.98;10.45;16.08.2023;21.08.2019;182
RU000A0ZYZ26;Œ‘«_52002;93.449;1062.27;13.25;9.75;02.02.2028;14.08.2019;182
