Time,MOEX,LKOH,SBER,GAZP,NVTK
17.06.2019,10:03:20,272925.000000,5192.500000,238.130000,231.460000,1309.400000
17.06.2019,10:03:30,272925.000000,5191.500000,238.240000,231.380000,1310.000000
17.06.2019,10:03:39,272950.000000,5191.500000,238.350000,231.400000,1310.000000
17.06.2019,10:03:50,272875.000000,5191.000000,238.350000,231.250000,1310.000000
17.06.2019,10:04:00,272950.000000,5190.500000,238.500000,231.440000,1308.200000
17.06.2019,10:04:10,272950.000000,5190.500000,238.500000,231.470000,1308.200000
17.06.2019,10:04:20,272875.000000,5190.000000,238.670000,231.460000,1307.600000
17.06.2019,10:04:30,273000.000000,5190.000000,238.950000,231.450000,1307.600000
17.06.2019,10:04:40,273000.000000,5190.000000,239.070000,231.370000,1308.000000
17.06.2019,10:04:50,273025.000000,5190.000000,239.060000,231.400000,1308.000000
17.06.2019,10:05:00,272925.000000,5190.000000,238.780000,231.410000,1308.000000
17.06.2019,10:05:10,272900.000000,5188.500000,238.840000,231.410000,1308.200000
17.06.2019,10:05:20,272875.000000,5186.500000,238.970000,231.310000,1308.200000
17.06.2019,10:05:30,272525.000000,5180.000000,238.600000,231.020000,1306.200000
17.06.2019,10:05:40,272600.000000,5182.500000,238.510000,230.990000,1306.000000
17.06.2019,10:05:50,272725.000000,5181.000000,238.760000,231.030000,1308.800000
17.06.2019,10:06:00,272725.000000,5181.000000,238.700000,231.190000,1308.800000
17.06.2019,10:06:10,272700.000000,5180.500000,238.740000,231.190000,1308.800000
17.06.2019,10:06:20,272700.000000,5182.500000,238.750000,231.060000,1308.800000
17.06.2019,10:06:30,272700.000000,5182.500000,238.740000,231.000000,1308.800000
17.06.2019,10:06:40,272575.000000,5179.000000,238.600000,230.990000,1307.400000
17.06.2019,10:06:50,272400.000000,5176.500000,238.350000,230.900000,1306.000000
17.06.2019,10:07:00,272250.000000,5171.500000,238.240000,230.820000,1306.200000
17.06.2019,10:07:10,271900.000000,5166.500000,238.020000,230.330000,1306.000000
17.06.2019,10:07:21,271725.000000,5164.000000,237.800000,230.210000,1306.000000
17.06.2019,10:07:31,271975.000000,5166.000000,237.900000,230.340000,1306.200000
17.06.2019,10:07:41,272025.000000,5166.500000,238.000000,230.460000,1307.000000
17.06.2019,10:07:51,272100.000000,5167.000000,238.230000,230.500000,1307.000000
17.06.2019,10:08:01,272125.000000,5163.500000,238.170000,230.360000,1306.400000
17.06.2019,10:08:11,272275.000000,5172.500000,238.190000,230.510000,1308.000000
17.06.2019,10:08:21,272275.000000,5169.000000,238.210000,230.410000,1308.600000
17.06.2019,10:08:31,272200.000000,5167.000000,238.300000,230.380000,1308.600000
17.06.2019,10:08:41,272300.000000,5171.000000,238.250000,230.570000,1308.600000
17.06.2019,10:08:51,272225.000000,5171.500000,238.280000,230.400000,1308.600000
17.06.2019,10:09:01,272075.000000,5171.000000,238.210000,230.310000,1307.000000
17.06.2019,10:09:11,272025.000000,5172.500000,237.920000,230.270000,1306.800000
17.06.2019,10:09:21,271925.000000,5173.500000,237.920000,230.240000,1306.800000
17.06.2019,10:09:31,271900.000000,5173.500000,237.960000,230.180000,1307.000000
17.06.2019,10:09:41,271925.000000,5173.000000,238.000000,230.410000,1308.000000
17.06.2019,10:09:51,271975.000000,5172.000000,237.910000,230.490000,1308.000000
17.06.2019,10:10:01,271875.000000,5173.000000,237.850000,230.280000,1308.000000
17.06.2019,10:10:11,271925.000000,5174.000000,237.810000,230.370000,1308.000000
17.06.2019,10:10:21,271950.000000,5174.500000,237.810000,230.430000,1308.000000
17.06.2019,10:10:31,271875.000000,5174.000000,237.900000,230.240000,1308.000000
17.06.2019,10:10:41,271900.000000,5174.000000,237.900000,230.320000,1306.200000
17.06.2019,10:10:51,271900.000000,5173.000000,237.850000,230.330000,1307.000000
17.06.2019,10:11:01,271950.000000,5174.000000,237.990000,230.380000,1307.000000
17.06.2019,10:11:11,271825.000000,5174.000000,237.820000,229.950000,1307.000000
17.06.2019,10:11:22,271800.000000,5174.500000,237.820000,229.850000,1307.000000
17.06.2019,10:11:31,271800.000000,5175.000000,237.930000,229.810000,1307.000000
17.06.2019,10:11:42,271725.000000,5176.500000,237.800000,229.970000,1307.000000
17.06.2019,10:11:52,271700.000000,5174.500000,237.720000,229.880000,1306.200000
17.06.2019,10:12:02,271625.000000,5174.500000,237.500000,229.870000,1306.200000
17.06.2019,10:12:12,271850.000000,5178.500000,237.660000,230.030000,1307.200000
17.06.2019,10:12:22,271700.000000,5179.500000,237.580000,230.000000,1307.200000
17.06.2019,10:12:32,271800.000000,5178.000000,237.560000,230.400000,1307.200000
17.06.2019,10:12:42,271800.000000,5180.000000,237.560000,230.220000,1307.000000
17.06.2019,10:12:52,272000.000000,5181.000000,237.700000,230.750000,1307.200000
17.06.2019,10:13:02,272000.000000,5181.500000,237.800000,230.750000,1307.200000
17.06.2019,10:13:12,272025.000000,5182.000000,237.880000,230.590000,1307.200000
17.06.2019,10:13:22,272100.000000,5182.000000,238.000000,230.520000,1307.200000
17.06.2019,10:13:32,272100.000000,5181.000000,237.990000,230.610000,1307.200000
17.06.2019,10:13:42,272025.000000,5179.000000,237.900000,230.550000,1307.200000
17.06.2019,10:13:52,272025.000000,5178.000000,237.840000,230.700000,1307.200000
17.06.2019,10:14:02,272150.000000,5177.500000,237.900000,230.680000,1307.200000
17.06.2019,10:14:12,272175.000000,5180.000000,238.000000,230.680000,1307.200000
17.06.2019,10:14:22,272225.000000,5180.000000,238.100000,230.850000,1307.200000
17.06.2019,10:14:32,272200.000000,5179.000000,238.180000,230.730000,1307.200000
17.06.2019,10:14:42,272200.000000,5179.000000,238.130000,230.850000,1308.000000
17.06.2019,10:14:52,272200.000000,5179.000000,238.210000,230.660000,1307.200000
17.06.2019,10:15:02,272150.000000,5176.500000,238.190000,230.790000,1306.400000
17.06.2019,10:15:12,272225.000000,5178.500000,238.160000,230.700000,1306.400000
17.06.2019,10:15:22,272175.000000,5176.500000,238.010000,230.710000,1306.400000
17.06.2019,10:15:32,272075.000000,5176.500000,237.910000,230.580000,1306.400000
17.06.2019,10:15:42,272025.000000,5176.000000,237.840000,230.450000,1306.400000
17.06.2019,10:15:52,272025.000000,5176.000000,237.740000,230.550000,1306.400000
17.06.2019,10:16:02,272075.000000,5176.500000,237.800000,230.500000,1306.400000
17.06.2019,10:16:13,272175.000000,5178.000000,237.980000,230.750000,1306.000000
17.06.2019,10:16:23,272175.000000,5179.500000,237.950000,230.670000,1306.000000
17.06.2019,10:16:33,272100.000000,5179.500000,237.980000,230.570000,1306.000000
17.06.2019,10:16:44,272025.000000,5180.000000,237.980000,230.630000,1307.400000
17.06.2019,10:16:53,272000.000000,5175.500000,237.790000,230.580000,1306.200000
17.06.2019,10:17:03,271875.000000,5174.000000,237.830000,230.400000,1306.000000
17.06.2019,10:17:13,271850.000000,5173.500000,237.880000,230.310000,1306.000000
17.06.2019,10:17:23,271850.000000,5177.500000,237.880000,230.320000,1306.000000
17.06.2019,10:17:33,271925.000000,5178.500000,237.840000,230.300000,1306.000000
17.06.2019,10:17:43,271850.000000,5176.500000,237.860000,230.330000,1306.000000
17.06.2019,10:17:53,271850.000000,5176.500000,237.770000,230.300000,1306.200000
17.06.2019,10:18:03,271825.000000,5177.500000,237.690000,230.240000,1306.000000
17.06.2019,10:18:13,271850.000000,5177.500000,237.680000,230.550000,1306.600000
17.06.2019,10:18:23,271850.000000,5177.500000,237.680000,230.530000,1306.600000
17.06.2019,10:18:33,271900.000000,5176.500000,237.680000,230.760000,1306.600000
17.06.2019,10:18:43,271925.000000,5178.500000,237.730000,230.960000,1306.600000
17.06.2019,10:18:53,271900.000000,5175.500000,237.640000,230.880000,1306.600000
17.06.2019,10:19:03,271900.000000,5175.500000,237.610000,230.810000,1306.000000
17.06.2019,10:19:13,271875.000000,5176.000000,237.800000,230.910000,1306.600000
17.06.2019,10:19:24,271875.000000,5176.000000,237.800000,230.780000,1307.600000
17.06.2019,10:19:33,271875.000000,5176.000000,237.880000,230.740000,1307.600000
17.06.2019,10:19:44,271875.000000,5176.000000,237.880000,230.660000,1307.600000
17.06.2019,10:19:54,271875.000000,5176.000000,237.830000,230.660000,1307.600000
17.06.2019,10:20:04,271875.000000,5175.500000,237.800000,230.770000,1307.200000
17.06.2019,10:20:14,271875.000000,5175.500000,237.880000,230.800000,1306.600000
17.06.2019,10:20:24,271975.000000,5176.500000,238.040000,230.820000,1306.600000
17.06.2019,10:20:34,272025.000000,5175.500000,238.030000,230.890000,1306.200000
17.06.2019,10:20:44,272150.000000,5180.500000,238.100000,230.890000,1306.200000
17.06.2019,10:20:54,272150.000000,5178.500000,238.190000,230.830000,1306.600000
17.06.2019,10:21:04,272175.000000,5180.500000,238.160000,230.890000,1306.800000
17.06.2019,10:21:14,271975.000000,5178.000000,238.060000,230.720000,1306.800000
17.06.2019,10:21:24,272075.000000,5179.500000,238.110000,230.700000,1306.800000
17.06.2019,10:21:34,272075.000000,5178.500000,238.100000,230.610000,1306.800000
17.06.2019,10:21:45,271975.000000,5179.500000,237.990000,230.640000,1307.400000
17.06.2019,10:21:54,271975.000000,5179.500000,238.100000,230.620000,1307.600000
17.06.2019,10:22:05,271950.000000,5177.000000,237.880000,230.500000,1307.000000
17.06.2019,10:22:15,272025.000000,5177.500000,237.990000,230.600000,1307.000000
17.06.2019,10:22:25,272025.000000,5178.000000,237.950000,230.600000,1307.800000
17.06.2019,10:22:35,272025.000000,5177.000000,237.880000,230.600000,1307.800000
17.06.2019,10:22:45,271900.000000,5176.500000,237.790000,230.500000,1306.200000
17.06.2019,10:22:55,271975.000000,5177.500000,237.810000,230.590000,1306.200000
17.06.2019,10:23:05,272000.000000,5177.500000,237.990000,230.550000,1306.000000
17.06.2019,10:23:15,272000.000000,5177.500000,238.000000,230.680000,1306.000000
17.06.2019,10:23:25,271975.000000,5177.500000,238.000000,230.650000,1306.000000
17.06.2019,10:23:35,271975.000000,5177.000000,238.000000,230.700000,1306.000000
17.06.2019,10:23:45,271975.000000,5177.000000,238.000000,230.650000,1306.000000
17.06.2019,10:23:55,271975.000000,5175.500000,237.940000,230.650000,1306.200000
17.06.2019,10:24:05,271925.000000,5176.000000,238.000000,230.650000,1306.200000
17.06.2019,10:24:15,271925.000000,5176.500000,238.000000,230.670000,1306.200000
17.06.2019,10:24:25,271950.000000,5176.500000,237.990000,230.670000,1306.600000
17.06.2019,10:24:35,271950.000000,5175.500000,237.920000,230.660000,1306.600000
17.06.2019,10:24:45,271950.000000,5175.500000,237.870000,230.740000,1306.600000
17.06.2019,10:24:55,271950.000000,5177.000000,237.870000,230.670000,1306.600000
17.06.2019,10:25:05,271950.000000,5176.000000,237.870000,230.710000,1306.800000
17.06.2019,10:25:15,271950.000000,5177.000000,237.910000,230.670000,1306.800000
17.06.2019,10:25:25,271950.000000,5176.500000,237.910000,230.760000,1306.800000
17.06.2019,10:25:35,271950.000000,5176.500000,237.930000,230.740000,1306.800000
17.06.2019,10:25:45,271950.000000,5176.500000,237.970000,230.740000,1306.800000
17.06.2019,10:25:56,271950.000000,5176.000000,237.900000,230.710000,1306.800000
17.06.2019,10:26:05,272000.000000,5176.000000,237.970000,230.690000,1306.200000
17.06.2019,10:26:15,272000.000000,5176.000000,237.970000,230.690000,1307.200000
17.06.2019,10:26:26,272000.000000,5176.500000,238.140000,230.600000,1307.200000
17.06.2019,10:26:36,271975.000000,5177.000000,238.040000,230.680000,1307.200000
17.06.2019,10:26:46,271975.000000,5176.000000,238.050000,230.700000,1307.200000
17.06.2019,10:26:56,271975.000000,5176.500000,238.090000,230.730000,1307.200000
17.06.2019,10:27:06,272200.000000,5182.500000,238.300000,230.840000,1307.200000
17.06.2019,10:27:16,272325.000000,5183.500000,238.470000,230.970000,1307.200000
